시간(연도.월),관광객수,1인당 평균 지출(USD$),관광수입(1K USD$),입국자 수,서울 평균 기온,부산 평균 기온,제주 평균 기온,서울(경기) 평균 강수일수,부산(경남) 평균 강수일수,제주 평균 강수일수,공휴일,항공편(인천국제공항_도착여객기),"""한국""(구글트랜드_미국)","""서울""(구글트랜드_미국)","""서울 여행""(구글트랜드_미국)","""한국 여행""(구글트랜드_미국)","""k-pop""(구글트랜드_미국)","""한국 여행""(구글트랜드_일본)","""서울 관광""(구글트랜드_일본)","""부산 여행""(구글트랜드_일본)","""여행 한국""(구글트랜드_태국)","""서울 한국""(구글트랜드_태국)","""한국 가기""(구글트랜드_태국)",환율(USD-KRW),교통 인프라(지하철_연간),면세점_외국인 결제 데이터(단위수: 1M USD$),면세점_외국인_인원수(단위 수 천명),서부텍사스산_원유(WTI) (단위 수: 1 USD$) ,팬데믹,한국- 전국소비자 물가지수
Jan-15,"723,255","1,014","1,230,500","917,054",3.6,9.4,10.2,7,8.9,10,1,2124023,21,39,24,17,35,41,45,31,81,59,75,"1,091",7.01,446,1230,47.11,0,94.643
Feb-15,"815,138",1066,1221300,1050706,6,10.2,10.1,5.7,5.5,6.5,3,2100612,19,34,27,13,32,37,35,32,61,39,65,"1,095",7.01,455,1355,54.79,0,94.587
Mar-15,"958,493",1202,1561500,1238144,12.4,14.3,13.6,3.7,5.8,8.5,1,2074375,20,41,24,16,35,34,31,31,68,42,66,"1,108",7.01,502,1504,52.83,0,94.596
Apr-15,"1,112,904",1241,1499600,1384567,18.8,17.8,19.2,11.5,15.3,15,0,2077687,19,40,33,17,38,34,33,35,66,37,67,"1,091",7.01,584,1750,57.54,0,94.625
May-15,"1,060,730",1088,1485500,1334212,24.9,22.9,22.7,5.8,7.9,10.5,2,2151974,20,41,24,15,37,33,31,29,62,29,66,"1,089",7.01,571,1776,62.51,0,94.89
Jun-15,"517,926",1303,938000,750925,29.5,24.7,25.3,10.3,10.4,14,1,1606828,18,36,34,28,40,33,16,27,45,18,47,"1,111",7.01,261,947,61.31,0,94.909
Jul-15,"419,430",1159,783100,629737,30,27,28.8,13.8,13.7,8.5,0,1781957,15,37,28,16,45,23,20,22,40,17,46,"1,157",7.01,219,689,54.34,0,95.08
Aug-15,"730,808",969,1099800,1069314,30.8,29.3,29.3,9.2,10.1,11.3,1,2319463,21,40,29,17,46,30,32,31,49,23,49,"1,184",7.01,361,1153,45.69,0,95.213
Sep-15,"907,874",1115,1171400,1206764,28.1,25.9,25.9,4.2,10.3,8.3,3,1966692,15,37,23,12,38,32,29,38,55,28,52,"1,189",7.01,429,1300,46.28,0,94.966
Oct-15,"1,076,153",1129,1255400,1383704,21.2,22.9,22.6,6.8,3.4,5,2,2214642,17,42,22,11,40,30,31,36,73,38,65,"1,143",7.01,537,1529,46.96,0,94.966
Nov-15,"911,647",1085,1180700,1150074,12.7,17.5,17.8,15.8,14.2,16.8,0,2053431,19,40,28,12,45,33,30,40,74,42,71,"1,154",7.01,512,1400,43.11,0,94.786
Dec-15,"901,131",1085,1249000,1116450,6,12.4,12.4,8.5,9.3,11.5,1,2181025,19,38,20,14,50,32,29,43,69,42,63,"1,172",7.01,524,1438,36.57,0,95.07
Jan-16,"865,064",865,1281600,1077431,1.1,7.6,8.3,3.3,4.3,11.5,1,2443552,19,39,27,16,46,40,35,46,61,36,62,"1,204",6.71,517,1525,29.78,0,95.232
Feb-16,"849,995",907,1374500,1126250,5.1,10.4,10.6,8.7,4.4,8.5,3,2350524,18,39,25,16,42,41,41,53,51,27,63,"1,218",6.71,490,1491,31.03,0,95.64
Mar-16,"1,123,465",1178,1471100,1389399,12.6,14.4,14.3,2.8,7.9,8.5,1,2252656,23,44,29,20,41,39,40,55,52,28,61,"1,177",6.71,610,1610,37.34,0,95.393
Apr-16,"1,214,201",1109,1364300,1469674,20.3,19.2,19.6,9.3,11.5,12.8,1,2250198,19,42,26,17,46,36,32,42,58,28,66,"1,152",6.71,633,1830,40.75,0,95.573
May-16,"1,202,692",1078,1669400,1492680,25.7,23.7,22.9,8.8,8.6,13.5,2,2242829,17,39,29,17,43,37,37,45,51,25,63,"1,174",6.71,627,1844,45.94,0,95.63
Jun-16,"1,277,116",1143,1464500,1554413,28.7,25.3,25.5,6.3,11.8,13.8,1,2351095,15,41,24,14,49,38,40,47,47,23,60,"1,160",6.71,625,1842,47.69,0,95.611
Jul-16,"1,405,496",1084,1213300,1703495,29.8,28.5,30.7,14.5,11.7,11.3,0,2591033,28,39,31,15,46,39,36,46,45,23,51,"1,145",6.71,638,1917,44.13,0,95.431
Aug-16,"1,312,514",1143,1464100,1664303,32.6,31.8,31.4,6.2,7.9,8.8,1,2800054,26,42,27,16,43,41,44,47,40,21,48,"1,120",6.71,682,1900,44.88,0,95.677
Sep-16,"1,199,450",1145,1274500,1523928,27.9,26.3,26.3,5.8,15.4,15.8,3,2356922,18,40,26,15,38,43,43,57,54,24,57,"1,110",6.71,666,1711,45.04,0,96.247
Oct-16,"1,303,692",993,1483900,1587797,21.3,22.3,22.9,9.3,10.9,14.3,2,2511742,16,39,31,14,42,42,46,56,53,24,57,"1,130",6.71,729,1846,49.29,0,96.379
Nov-16,"1,076,471",1069,1370500,1309055,11.6,16.4,16.9,11.2,7.2,10,0,2289071,16,39,27,13,43,42,37,59,55,29,59,"1,160",6.71,666,1519,45.26,0,96.237
Dec-16,"1,102,769",1032,1322200,1343398,5.8,12.1,12.7,9.8,5.9,8.8,1,2489712,15,38,21,14,51,37,38,54,53,29,59,"1,200",6.71,734,1595,52.62,0,96.342
Jan-17,"978,223",964,1176700,1220695,2.9,9.1,9.2,7,3.9,8.5,4,2727732,16,44,29,18,53,63,47,79,74,43,78,"1,167",7.01,708,1682,53.59,0,97.366
Feb-17,"952,948",1015,1272600,1252080,4.8,10.8,10.3,5.7,6.5,9.3,0,2598563,20,43,26,21,48,59,45,84,69,33,73,"1,138",7.01,883,1633,54.35,0,97.632
Mar-17,"970,389",1161,1125600,1233640,12.3,13.9,13,5,8.8,9.5,1,2494753,24,46,32,24,51,55,42,68,74,35,73,"1,124",7.01,665,1235,50.9,0,97.565
